eph_aglome,localidade,poblacion,area_m2,m2_hab
Bahia Blanca - Cerri,Bahía Blanca,289838,3403884.371430708,11.744092808502364
Bahia Blanca - Cerri,General Daniel Cerri,6745,36216.82916155271,5.369433530252441
CABA,CABA Comuna 01,204541,4222344.5251447335,20.643022793203972
CABA,CABA Comuna 02,157932,465382.27518658264,2.9467256489285427
CABA,CABA Comuna 03,187537,80644.82104667841,0.4300208548002709
CABA,CABA Comuna 04,218245,870217.3895009361,3.9873417008450875
CABA,CABA Comuna 05,179005,22767.940170512535,0.12719164364410232
CABA,CABA Comuna 06,176076,294303.702167875,1.6714583598439028
CABA,CABA Comuna 07,220591,316755.1402370494,1.435938638643686
CABA,CABA Comuna 08,187237,2874026.340700315,15.349670955528634
CABA,CABA Comuna 09,161797,544015.6502559261,3.362334593694111
CABA,CABA Comuna 10,166022,152988.63239252265,0.9214961414301879
CABA,CABA Comuna 11,189832,124311.31876887601,0.6548491232715032
CABA,CABA Comuna 12,200116,1367227.1092172677,6.832172885812567
CABA,CABA Comuna 13,231331,1017871.7416579195,4.4000663190749165
CABA,CABA Comuna 14,225970,2211795.355163156,9.788004403961393
CABA,CABA Comuna 15,182574,239913.75026046293,1.314063066266078
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,175196,710348.1023519249,4.054590871663308
Comodoro Rivadavia - Rada Tilly,Rada Tilly,9098,184704.56684440584,20.30166705258363
Concordia,Concordia,146341,2048435.669927831,13.997688070519068
Corrientes,Corrientes,344546,1019093.9550555423,2.9577877991778814
Formosa,Formosa,220160,649257.1221543438,2.9490239923434944
Gran Catamarca,San Fernando del Valle de Catamarca,145930,1243373.3320269692,8.520340793715954
Gran Catamarca,San Isidro,25674,35743.947966601816,1.392223571184927
Gran Catamarca,San José,10242,23194.080129567592,2.2646045820706493
Gran Córdoba,Agua de Oro,1918,13603.444959946908,7.092515620410276
Gran Córdoba,Córdoba,1296925,9028331.646598114,6.9613367362014875
Gran Córdoba,El Manzano,892,7798.588355026208,8.742812057204269
Gran Córdoba,La Calera,31972,240457.9571382781,7.520891941019583
Gran Córdoba,La Granja,2456,37912.22411075793,15.436573334999158
Gran Córdoba,Mendiolaza,10271,110423.6229719239,10.751009928139801
Gran Córdoba,Parque Norte - Ciudad de los Niños - Villa Pastora - Almirante Brown - Guiñazú Norte - 1 de Agosto,5710,34261.73112036241,6.000303173443505
Gran Córdoba,Río Ceballos,19688,NA,NA
Gran Córdoba,Saldán,10605,7163.979283919907,0.6755284567581242
Gran Córdoba,Salsipuedes,9612,167786.00736299815,17.455889238763852
Gran Córdoba,Unquillo,18086,17079.50794574013,0.9443496597224444
Gran Córdoba,Villa Allende,25738,75215.98761291766,2.922371109368158
Gran La Plata,Berisso,84044,176751.99433435238,2.1030887908042497
Gran La Plata,Ensenada,54772,144260.95670077315,2.6338449700718094
Gran La Plata,La Plata,638683,2895679.105411225,4.53382837089953
Gran La Plata,Ruta Sol,1878,NA,NA
Gran Mendoza,Godoy Cruz,189758,5917876.974254922,31.186442596649005
Gran Mendoza,Guaymallén,250987,1446952.0154099104,5.7650476535036095
Gran Mendoza,Las Heras,188532,305708.81942663284,1.6215221788695438
Gran Mendoza,Luján de Cuyo,82133,327496.8000891703,3.987396053829402
Gran Mendoza,Maipú,105200,793354.8815655499,7.541396212600284
Gran Mendoza,Mendoza,114893,6309434.023269855,54.91573919446664
Gran Paraná,Colonia Avellaneda,2970,30319.821800833335,10.208694209034793
Gran Paraná,Oro Verde,4116,47289.714523345785,11.489240651930462
Gran Paraná,Paraná,246378,1309031.6596313443,5.313102872948657
Gran Paraná,San Benito,9105,103197.64167614744,11.334172616820148
Gran Paraná,Sauce Montrull,746,10833.692391349934,14.52237585971841
Gran Resistencia,Barranqueras,54698,60888.36079436344,1.113173439510831
Gran Resistencia,Fontana,32027,91668.56682203227,2.8622277085594114
Gran Resistencia,Puerto Vilelas,8278,9018.420384441095,1.0894443566611616
Gran Resistencia,Resistencia,290723,1811972.6923586088,6.232643073849021
Gran Rosario,Capitán Bermúdez,28267,75466.56425832072,2.669776214607872
Gran Rosario,Fray Luis Beltrán,14918,31010.215137056308,2.078711297563769
Gran Rosario,Funes,22752,415101.5747102607,18.244619141625385
Gran Rosario,Granadero Baigorria,36481,204264.72556298404,5.599208507524027
Gran Rosario,Puerto General San Martín,13243,203275.70891135433,15.349672197489566
Gran Rosario,Pérez,26448,68876.50545891537,2.604223588132009
Gran Rosario,Roldán,13795,191152.9014216769,13.856680059563386
Gran Rosario,Rosario,948312,6442310.5279319845,6.793450391782435
Gran Rosario,San Lorenzo,45958,177624.12759266194,3.864922920768135
Gran Rosario,Soldini,2477,NA,NA
Gran Rosario,Villa Gobernador Gálvez,80769,211474.41119815467,2.6182620955831406
Gran San Juan,Chimbas,87258,474436.14916138246,5.437165064078737
Gran San Juan,El Rincón,478,NA,NA
Gran San Juan,Rawson,109424,442113.49169744295,4.0403704095759885
Gran San Juan,Rivadavia,82582,798153.6924588906,9.664983803478853
Gran San Juan,San Juan,109123,553619.809863094,5.073355844900654
Gran San Juan,Santa Lucía,48087,88820.53009027394,1.8470798779352826
Gran San Juan,Villa Barboza - Villa Nacusi,22997,25087.11979946075,1.09088662866725
Gran San Juan,Villa General San Martín - Campo Afuera,19870,61545.03119155485,3.0973845592126246
Gran Santa Fe,Recreo,12367,12728.467349809449,1.0292283779258873
Gran Santa Fe,San José del Rincón,10176,18446.81018877536,1.8127761584881446
Gran Santa Fe,Santa Fe,387805,1748279.3628258496,4.508140335544538
Gran Santa Fe,Santo Tomé,65684,114536.44259960708,1.7437495067232063
Gran Santa Fe,Sauce Viejo,7215,65969.93662953173,9.143442360295458
Gran Tucumán - Tafi Viejo,Alderetes,40915,40298.394561596855,0.9849295994524466
Gran Tucumán - Tafi Viejo,Banda del Río Salí,63226,9912.392342941836,0.15677715406544515
Gran Tucumán - Tafi Viejo,Barrio San Felipe,2157,NA,NA
Gran Tucumán - Tafi Viejo,Barrio San José III,1103,5168.24087807443,4.685621829623236
Gran Tucumán - Tafi Viejo,Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia,11494,57576.06273676152,5.009227661106797
Gran Tucumán - Tafi Viejo,El Manantial,14458,12230.109348682687,0.8459060277135625
Gran Tucumán - Tafi Viejo,San Miguel de Tucumán,548866,3595660.7297125873,6.551072082644192
Gran Tucumán - Tafi Viejo,Tafí Viejo,38062,15261.966354764067,0.4009764687815687
Gran Tucumán - Tafi Viejo,Villa Mariano Moreno - El Colmenar,52597,42820.39872459753,0.8141224542197755
Gran Tucumán - Tafi Viejo,Yerba Buena - Marcos Paz,55710,100566.8083502308,1.805184138399404
Jujuy - Palpalá,Palpalá,49596,359900.41348567954,7.256641936561004
Jujuy - Palpalá,San Salvador de Jujuy,238204,835552.5838176892,3.507718526211521
Jujuy - Palpalá,Yala,1543,143414.66110810637,92.94534096442409
La Rioja,La Rioja,177807,1623120.9078983678,9.128554600765819
Mar del Plata - Batán,Mar del Plata,593296,6615737.429676572,11.15082088818494
Neuquén - Plottier,Neuquén,224878,1460464.4351675543,6.4944744935812055
Neuquén - Plottier,Plottier,26805,267879.7729295944,9.993649428449707
Partidos del GBA,Almirante Brown,551069,1080026.6712299355,1.9598755713530165
Partidos del GBA,Avellaneda,342677,996262.9658772892,2.9072945248070026
Partidos del GBA,Berazategui,324156,602514.2748986541,1.8587170217384656
Partidos del GBA,Escobar,211074,570108.2614696764,2.7009876226805596
Partidos del GBA,Esteban Echeverría,294470,466389.70235500985,1.5838275625870541
Partidos del GBA,Ezeiza,156734,651799.5092109316,4.158635070954174
Partidos del GBA,Florencio Varela,426005,983790.2313103912,2.3093396352399416
Partidos del GBA,General Rodríguez,80226,343170.81341669854,4.27755108589109
Partidos del GBA,General San Martín,414196,289224.344572767,0.6982789417878661
Partidos del GBA,Hurlingham,181241,669913.5746724993,3.696258433094605
Partidos del GBA,Ituzaingó,167824,428242.4911504202,2.551735694241707
Partidos del GBA,José C. Paz,265981,500437.45056078106,1.8814781903999949
Partidos del GBA,La Matanza,1771360,2250595.6535638114,1.2705467288206866
Partidos del GBA,Lanús,459263,624501.6048852964,1.359790805889646
Partidos del GBA,Lomas de Zamora,616279,768465.6478148398,1.2469443998819363
Partidos del GBA,Malvinas Argentinas,322375,1106589.0760924264,3.432614427584107
Partidos del GBA,Marcos Paz,45366,80566.86869251044,1.775930624090959
Partidos del GBA,Merlo,515451,1147963.911753963,2.227105800074038
Partidos del GBA,Moreno,452505,3699248.53632148,8.175044554914265
Partidos del GBA,Morón,321109,903372.7203690258,2.8132899431938245
Partidos del GBA,Máximo Paz,7311,89334.8728588284,12.219241260953138
Partidos del GBA,Pilar,290857,657852.0842546829,2.2617715380915118
Partidos del GBA,Presidente Perón,79978,355549.02581598214,4.445585358673412
Partidos del GBA,Quilmes,582943,1085000.6629083978,1.8612465762662864
Partidos del GBA,San Fernando,160284,328916.7537334704,2.05208725595487
Partidos del GBA,San Isidro,292878,689562.2285288208,2.354435049846082
Partidos del GBA,San Miguel,276190,512252.2880037404,1.8547097577889873
Partidos del GBA,San Vicente,55882,927138.8482826942,16.59101049144079
Partidos del GBA,Tigre,370913,768570.6575911982,2.0721049345566165
Partidos del GBA,Tres de Febrero,340071,761738.1410535572,2.2399385453436405
Partidos del GBA,Vicente López,269420,899333.1788731691,3.3380342174789144
Posadas,Garupá,12865,73418.93297898641,5.70687391985903
Posadas,Posadas,273586,1499001.021065392,5.479085264104859
Posadas,Posadas (Expansión),30846,71162.86666450242,2.30703710900935
Rawson - Trelew,Playa Unión,6775,41471.50171829434,6.121254866168907
Rawson - Trelew,Rawson,24616,82905.4267282788,3.3679487621172735
Rawson - Trelew,Trelew,97915,197882.32853391272,2.0209603077558365
Rio Cuarto,Las Higueras,5685,571782.3254752555,100.57736595870809
Rio Cuarto,Río Cuarto,157010,1129012.0541773192,7.190701574277557
Rio Gallegos,Río Gallegos,95796,336094.8532660048,3.5084434972859495
Salta,Cerrillos,11796,16244.559280561283,1.3771243879756938
Salta,La Ciénaga y Barrio San Rafael,4317,11966.509388562292,2.771950286903473
Salta,Salta,519057,2205004.0524543775,4.248096167577699
Salta,Vaqueros,4575,NA,NA
Salta,Villa Los Álamos - El Congreso - Las Tunas - Los Pinares - Los Olmos,8157,8224.252771303058,1.0082447923627629
San Luis - El Chorrillo,Juana Koslay,12467,17802.150550537743,1.427941810422535
San Luis - El Chorrillo,La Punta,13182,749466.2656636685,56.8552773223842
San Luis - El Chorrillo,San Luis,169947,1869817.137060066,11.002354481456372
San Nicolas - Villa Constitución,Barrio Arroyo del Medio,310,NA,NA
San Nicolas - Villa Constitución,San Nicolás de los Arroyos,128222,969087.5464319258,7.557888244076101
San Nicolas - Villa Constitución,Villa Constitución,46118,393072.87525565136,8.523198648155848
Santa Rosa - Toay,Santa Rosa,102404,722725.3581048264,7.057589138166736
Santa Rosa - Toay,Toay,11132,569462.658154478,51.155466956025684
Santiago del Estero - La Banda,El Zanjón,2290,NA,NA
Santiago del Estero - La Banda,La Banda,101537,1074895.0925974762,10.586240410859846
Santiago del Estero - La Banda,Santiago del Estero,251274,1785795.0573280244,7.106963145124543
Ushuaia - Rio Grande,Río Grande,66475,188412.00124899868,2.834328713787118
Ushuaia - Rio Grande,Ushuaia,56593,196162.034454243,3.466189006665895
Viedma - Carmen de Patagones,Carmen de Patagones,20533,622137.9436613288,30.299417701326096
Viedma - Carmen de Patagones,Viedma,52789,776721.7660675001,14.713704864034176
